myo,pi,power,displacement_nm,time_on_ms,force
S217A,0mM-Pi,1.5-W,26.17814645,124.8,1.047125858
S217A,0mM-Pi,1.5-W,23.6856496,150.6,0.947425984
S217A,0mM-Pi,1.5-W,35.0089473,88,1.400357892
S217A,0mM-Pi,1.5-W,59.753589,80.8,2.39014356
S217A,0mM-Pi,1.5-W,25.9330344,214.2,1.037321376
S217A,0mM-Pi,1.5-W,50.07803379,315.4,2.0031213516
S217A,0mM-Pi,1.5-W,26.09839191,114.2,1.0439356764
S217A,0mM-Pi,1.5-W,10.14580037,90.4,0.4058320148
S217A,0mM-Pi,1.5-W,19.01740787,99.4,0.7606963148
S217A,0mM-Pi,1.5-W,40.58082,96,1.6232328
S217A,0mM-Pi,1.5-W,76.11356813,116.4,3.0445427252
S217A,0mM-Pi,1.5-W,32.84389224,99,1.3137556896
S217A,0mM-Pi,1.5-W,38.66537622,103.2,1.5466150488
S217A,0mM-Pi,1.5-W,16.04505275,149.6,0.64180211
S217A,0mM-Pi,1.5-W,14.81991738,152.6,0.5927966952
S217A,0mM-Pi,1.5-W,61.21774575,346,2.44870983
S217A,0mM-Pi,1.5-W,29.10652604,91.2,1.1642610416
S217A,0mM-Pi,1.5-W,11.89904568,102.6,0.4759618272
S217A,0mM-Pi,1.5-W,22.01029452,153.2,0.8804117808
S217A,0mM-Pi,1.5-W,10.73361614,138.6,0.4293446456
S217A,0mM-Pi,1.5-W,50.08152443,100.6,2.0032609772
S217A,0mM-Pi,1.5-W,50.953434,282.8,2.03813736
S217A,0mM-Pi,1.5-W,42.56098241,133.2,1.7024392964
S217A,0mM-Pi,1.5-W,41.19378522,163,1.6477514088
S217A,0mM-Pi,1.5-W,30.49586804,98.2,1.2198347216
S217A,0mM-Pi,1.5-W,42.015834,92.2,1.68063336
S217A,0mM-Pi,1.5-W,49.4849573,101,1.979398292
S217A,0mM-Pi,1.5-W,31.3875408,129,1.255501632
S217A,0mM-Pi,1.5-W,8.944695533,210.2,0.35778782132
S217A,0mM-Pi,1.5-W,16.45405234,169.4,0.6581620936
S217A,0mM-Pi,1.5-W,19.47922453,99.8,0.7791689812
S217A,0mM-Pi,1.5-W,36.90022644,238,1.4760090576
S217A,0mM-Pi,1.5-W,51.72447417,99.8,2.0689789668
S217A,0mM-Pi,1.5-W,54.28703284,174.6,2.1714813136
S217A,0mM-Pi,1.5-W,51.87848929,212.6,2.0751395716
S217A,0mM-Pi,1.5-W,25.52830375,99,1.02113215
S217A,0mM-Pi,1.5-W,12.58116727,126.2,0.5032466908
S217A,0mM-Pi,1.5-W,11.30272679,109.4,0.4521090716
S217A,0mM-Pi,1.5-W,16.84919523,112.6,0.6739678092
S217A,0mM-Pi,1.5-W,26.938485,187.6,1.0775394
S217A,0mM-Pi,1.5-W,33.99487023,138.2,1.3597948092
S217A,0mM-Pi,1.5-W,35.8386,132.4,1.433544
S217A,0mM-Pi,1.5-W,33.99884708,130.6,1.3599538832
S217A,0mM-Pi,1.5-W,57.63532397,103.4,2.3054129588
S217A,0mM-Pi,1.5-W,35.63365338,108.6,1.4253461352
S217A,0mM-Pi,1.5-W,27.0431813,135.8,1.081727252
S217A,0mM-Pi,1.5-W,31.58615825,110,1.26344633
S217A,0mM-Pi,1.5-W,29.45550686,311.2,1.1782202744
S217A,0mM-Pi,1.5-W,81.03968345,120.4,3.241587338
S217A,0mM-Pi,1.5-W,80.26661509,141.6,3.2106646036
S217A,0mM-Pi,1.5-W,17.11311133,160.8,0.6845244532
S217A,0mM-Pi,1.5-W,36.36067632,128.2,1.4544270528
S217A,0mM-Pi,1.5-W,57.9132895,115.8,2.31653158
S217A,0mM-Pi,1.5-W,32.2598115,152.8,1.29039246
S217A,0mM-Pi,1.5-W,108.3500757,189,4.334003028
S217A,0mM-Pi,1.5-W,24.179197,125,0.96716788
S217A,0mM-Pi,1.5-W,30.4391283,117,1.217565132
S217A,0mM-Pi,1.5-W,40.45909712,125.8,1.6183638848
S217A,0mM-Pi,1.5-W,15.30696444,126,0.6122785776
S217A,0mM-Pi,1.5-W,43.40316737,125.8,1.7361266948
S217A,0mM-Pi,1.5-W,11.29159042,142.8,0.4516636168
S217A,0mM-Pi,1.5-W,11.01787255,153.4,0.440714902
S217A,0mM-Pi,1.5-W,36.23728521,120.8,1.4494914084
S217A,0mM-Pi,1.5-W,0.740758244,134,0.02963032976
S217A,0mM-Pi,1.5-W,5.939214744,138.8,0.23756858976
